Vehicle ID,Vehicle Type,Bad Parts,Employee ID,Employee Name,Start Time,End Time,Fix Time,Cost
4,CAR,7,4,Juliet,18 s,1:45:20,1:45:38,£137.33
3,CAR,6,3,Julia,19 s,1:45:20,1:45:39,£125.79
1,BIKE,9,1,Eric,24 s,1:45:19,1:45:43,£229.45
5,BIKE,5,4,Juliet,13 s,1:45:38,1:45:51,£122.39
6,BIKE,7,3,Julia,16 s,1:45:39,1:45:55,£113.12
7,CAR,8,1,Eric,29 s,1:45:43,1:46:12,£140.38
9,BIKE,8,3,Julia,18 s,1:45:55,1:46:13,£165.61
2,CAR,15,2,John,54 s,1:45:19,1:46:13,£348.07
8,BIKE,10,4,Juliet,30 s,1:45:51,1:46:21,£233.03
12,BIKE,5,2,John,13 s,1:46:14,1:46:27,£94.26
11,BIKE,7,3,Julia,18 s,1:46:13,1:46:31,£137.61
10,CAR,12,1,Eric,29 s,1:46:12,1:46:41,£317.35
14,CAR,8,2,John,25 s,1:46:27,1:46:52,£207.79
13,CAR,11,4,Juliet,36 s,1:46:21,1:46:57,£169.45
15,CAR,10,3,Julia,32 s,1:46:31,1:47:3,£128.96
16,CAR,9,1,Eric,28 s,1:46:41,1:47:9,£193.48
17,CAR,8,2,John,27 s,1:46:52,1:47:19,£227.86
18,CAR,8,4,Juliet,22 s,1:46:57,1:47:19,£141.76

Vehicles,18,Employees,4,Total Earned,3233.67
