Vehicle ID,Vehicle Type,Bad Parts,Employee ID,Employee Name,Fix Time,Start Time,End Time,Cost
1,CAR,6,1,John Lavall,23 s,1:51:4,1:51:27,£549.75
2,CAR,11,2,Jim Williams,34 s,1:51:4,1:51:38,£865.44
3,CAR,6,1,John Lavall,13 s,1:51:27,1:51:40,£443.45
5,CAR,4,1,John Lavall,10 s,1:51:40,1:51:50,£221.09
4,CAR,7,2,Jim Williams,22 s,1:51:38,1:52:0,£492.58
6,BIKE,6,1,John Lavall,22 s,1:51:50,1:52:12,£555.31
7,CAR,11,2,Jim Williams,32 s,1:52:0,1:52:32,£821.10
8,CAR,8,1,John Lavall,23 s,1:52:12,1:52:35,£592.25
10,CAR,7,1,John Lavall,21 s,1:52:35,1:52:56,£539.32
9,BIKE,9,2,Jim Williams,28 s,1:52:32,1:53:0,£693.68

Vehicles,10,Employees,2,Total Earned,5773.97
